Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity
For Life (feat. Zak Abel & Nile Rodgers),For Life (feat. Zak Abel & Nile Rodgers),Kygo,2024-04-19,USRC12400376,"1,240",42.6,36844307,4216,90998184,76.0
Kya Loge Tum,Kya Loge Tum,B Praak,2023-05-15,INUM72300286,"1,238",42.6,89701636,2561,1939449,57.0
California Breeze,It's Only Me,Lil Baby,2022-10-14,USUG12207230,"1,237",42.6,116994951,45626,8408366,61.0
Nonstop,Scorpion,Drake,2018-06-29,USCM51800191,"1,239",42.6,1118459427,175188,51548109,71.0
Go Stupid,Go Stupid,Polo G,2020-02-14,USQX92000261,"1,241",42.5,416388749,112485,21170575,69.0
POPSTAR (feat. Drake),POPSTAR (feat. Drake),DJ Khaled,2020-07-17,USSM12004501,"1,247",42.4,712664065,165234,35485186,63.0
Qual ï¿½ï¿½ o seu des,Qual ï¿½ï¿½ seu des,Tz da Coronel,2024-02-29,BC2TS2400002,"1,244",42.4,71586678,6088,12104937,73.0
Solo (feat. Demi Lovato),Solo (feat. Demi Lovato),Clean Bandit,2018-05-17,GBAHS1800328,"1,246",42.4,1042065058,114049,30877323,64.0
Steven Universe,Steven Universe,L.Dre,2020-02-21,QZFZ32084911,"1,245",42.4,54104852,14464,2212197,50.0
places to be,places to be,Fred again..,2024-05-31,GBAHS2400279,"1,250",42.4,11581454,2277,40816159,73.0
Elvira,Elvira,Oscar Maydon,2023-12-20,QZ9QQ2300978,"1,255",42.3,183146334,8183,47711465,81.0
Fantasias,Fantasias,Rauw Alejandro,2019-08-29,QM6P41989279,"1,253",42.3,663578551,76919,24789585,67.0
Am,AM,Nio Garcia,2021-01-28,QM4TW2137909,"1,257",42.2,361357607,70546,11143810,57.0
Te Lo Agradezco,Te Lo Agradezco,Kany Garcï¿½,2023-07-27,US5022300029,"1,258",42.2,169162533,9016,8885567,73.0
Marea (Weï¿½ï¿½ï¿½ve Lost Da,Marea (Weï¿½ï¿½ï¿½ve Lost Da,Fred again..,2021-02-22,GBAHS2100041,"1,259",42.2,336943720,191372,29642267,71.0
Cupid,The Beginning: Cupid - Single,FIFTY FIFTY,2023-02-24,KSA012239180,"1,256",42.2,212084990,34632,4625072,37.0
Guilty as Sin?,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401036,"1,264",42.1,165611453,4418,21928475,78.0
BOMBï¿½,LEGENDADDY,Daddy Yankee,2022-03-25,USUG12201723,"1,272",42.0,129335327,27681,6391085,60.0
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,2021-04-30,USSM12102263,"1,271",42.0,352955079,108705,24218793,68.0
Mo Bamba,Mo Bamba,Sheck Wes,2017-09-19,QM24S1703585,"1,266",42.0,1056346890,198581,38436526,71.0
Love Me JeJe,Love Me JeJe - Single,Tems,2024-04-25,USRC12400907,"1,274",41.9,34621656,4787,53092639,76.0
Heather,Kid Krow,Conan Gray,2020-03-20,USUM71924264,"1,276",41.8,1675083208,191604,123682546,80.0
Love Again,Future Nostalgia,Dua Lipa,2020-03-27,GBAHT1901302,"1,279",41.7,665464734,90805,19218236,67.0
What Do You Mean?,Full Circle: The Live Anthology,Justin Bieber,2011-11-20,USUM71511919,"1,282",41.6,1599742798,137106,54447816,74.0
TV,Guitar Songs,Billie Eilish,2022-07-21,USUM72213724,"1,285",41.5,572602278,80064,39873526,76.0
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401033,"1,286",41.5,154819909,3535,21565868,76.0
Take Me to Church,Take Me To Church,Hozier,2013-09-16,IEACJ1300031,"1,293",41.4,2544489950,238611,69693570,78.0
It's You,It's You,Ali Gatie,2019-06-14,USWB11901154,"1,292",41.4,1123039235,140766,29272883,72.0
Love Lee,Love Lee,AKMU,2023-08-21,KRA402300033,"1,294",41.4,72468277,10736,4247248,65.0
Venom - Music From The Motion Picture,Kamikaze,Eminem,2018-08-31,USUM71813345,"1,290",41.4,788282679,139716,24601490,68.0
Karma,Midnights,Taylor Swift,2022-10-21,USUG12205717,"1,297",41.3,777305444,47435,45285568,75.0
Chiky Boom,Chiky Boom,Paylon,2022-11-18,ES5052200746,"1,300",41.2,41254,14,769,1.0
X (feat. Future),Savage Mode,21 Savage,2016-07-15,QZ45A1600041,"1,302",41.2,581220786,115125,20776088,65.0
CRAZYZ,Pa las Baby's Y Belikeada,Fuerza Regida,2023-10-20,QZ9QQ2300772,"1,314",41.1,202633616,12683,18918954,78.0
Passionfruit,More Life,Drake,2017-03-18,USCM51700072,"1,309",41.1,1625307365,288559,72837714,77.0
Like Crazy,FACE,Jimin,2023-03-24,USA2P2251865,"1,308",41.1,1165398518,16425,22818507,84.0
What It Is (Solo Version),What It Is (Versions),Doechii,2023-03-17,USUG12301967,"1,311",41.1,308738277,38674,36667220,70.0
Bad and Boujee (feat. Lil Uzi Vert),Bad and Boujee,Migos,2016-10-28,QMCE31600796,"1,307",41.1,936450891,173279,29410941,66.0
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),SUBEME LA RADIO,Enrique Iglesias,2017-02-24,USRC11700058,"1,313",41.1,706158416,87667,24084151,65.0
Cheerleader - Felix Jaehn Remix Radio Edit,Cheerleader (Felix Jaehn Remix) (Radio Edit),OMI,2014-05-20,USUS11202574,"1,318",41.0,1663491433,49556,9366950,52.0
Woah (feat. D3Mstreet),Woah,KRYPTO9095,2019-03-29,QZDA41998629,"1,315",41.0,92985109,21725,3265269,45.0
Oh My God,30,Adele,2021-11-19,USSM12105973,"1,327",40.8,562200390,66469,27321505,68.0
Midnight Sky,Midnight Sky,Miley Cyrus,2020-08-14,USRC12002653,"1,323",40.8,629372240,86326,19484618,66.0
Ric Flair Drip (with Metro Boomin),Without Warning,Offset,2017-10-30,QZ45A1700064,"1,338",40.7,1506766477,257640,63705857,80.0
Dï¿½ï¿½,Dï¿½ï¿½,Teya Dora,2023-03-22,FRX202362720,"1,332",40.7,125289731,25929,2777533,65.0
Going Bad (feat. Drake),Championships,Meek Mill,2018-11-30,USAT21812710,"1,330",40.7,1189579197,190095,47916138,73.0
Wunder,Wunder,AYLIVA,2024-04-26,DEA622401272,"1,336",40.7,47364546,3863,15268731,77.0
Safaera,YHLQMDLG,Bad Bunny,2020-02-29,QM4TX2030965,"1,331",40.7,868744690,116275,31273843,70.0
Love Again,Love Again,The Kid LAROI,2023-01-27,USSM12211461,"1,342",40.6,215466975,44476,12164093,62.0
LAGUNAS,LAGUNAS,Peso Pluma,2023-06-22,QM7282306255,"1,339",40.6,301396080,23886,6601410,74.0
Narcotics (with Bryant Myers),Narcotics (with Bryant Myers),Dei V,2023-09-14,QZWA32200363,"1,344",40.6,154018930,23281,12418680,73.0
Someone Like You,21' Sampler,Adele,2011-01-18,GBBKS1000351,"1,345",40.5,1925879064,211527,80288449,75.0
Oh U Went (feat. Drake),BUSINESS IS BUSINESS,Young Thug,2023-06-23,USAT22306750,"1,347",40.5,112624663,43943,22872664,64.0
We Paid (feat. 42 Dugg),My Turn (Deluxe),Lil Baby,2020-02-28,USUG12000092,"1,353",40.3,417634388,128536,20047619,68.0
Boss Bitch,Boss Bitch,Doja Cat,2020-01-23,USAT21907355,"1,352",40.3,878349171,126275,47587177,70.0
Ballena,Ballena,Vulgo FK,2023-07-13,BRRGE2300535,"1,354",40.3,174583156,28303,9617276,66.0
Locked Away (feat. Adam Levine),Locked Away,R. City,2015-06-29,USRC11501369,"1,355",40.3,990518773,143056,48490958,75.0
the remedy for a broken heart (why am I so in love),?,XXXTENTACION,2018-03-16,USUG11800488,"1,359",40.2,959078765,142939,25725853,69.0
Cynical,Cynical,twocolors,2023-06-30,DEUM72307092,"1,363",40.2,112737954,20339,47189903,41.0
Robarte un Beso,Robarte un Beso,Carlos Vives,2017-07-28,USSD11700301,"1,361",40.2,658225560,53101,23936663,72.0
Hass Hass,Hass Hass - Single,Diljit Dosanjh,2023-10-27,INW262318603,"1,370",40.1,106514756,10191,8686387,70.0
LDR,LDR,Shoti,2022-08-27,QZNWS2249445,"1,365",40.1,37027643,5646,1050088,57.0
Me or Sum (feat. Future & Lil Baby),Me or Sum (feat. Future & Lil Baby) - Single,Nardo Wick,2021-11-29,USRC12103471,"1,374",40.0,169074195,77071,7941140,59.0
You're Welcome,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Dwayne Johnson,2016-11-18,USWD11677860,"1,372",40.0,551115166,57721,18005001,66.0
LA NOCHE DE ANOCHE,EL ï¿½ï¿½LTIMO TOUR DEL M,Bad Bunny,2020-11-27,QMFME2066840,"1,376",39.9,990189999,120639,37168821,71.0
Charm,Charm (Sped Up),Rema,2023-04-26,NGA3B2314006,"1,387",39.8,111124873,35929,7199181,65.0
Mon Amour - Remix,Mon Amour (Remix),zzoilo,2021-08-18,ES5702101693,"1,381",39.8,689939531,101479,31506074,72.0
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,2023-05-16,INH102307527,"1,379",39.8,226109929,11941,13056935,66.0
The Astronaut,The Astronaut,JIN,2022-10-28,USA2P2230326,"1,382",39.8,422186660,12509,19653160,79.0
Komang,Komang,Raim Laode,2022-08-17,SGB502228663,"1,378",39.8,329763216,16110,3893973,70.0
The Spectre,The Spectre,Alan Walker,2017-09-15,NOG841713010,"1,395",39.7,428110164,67602,15209777,67.0
DARARI,THE SECOND STEP : CHAPTER ONE,TREASURE,2022-02-15,KRA402100151,"1,396",39.7,224285122,23891,5328396,63.0
More than you know,More than you know,NoSpace,2022-07-25,QZMEM2268044,"1,397",39.7,2030,5,33,2.0
B.O.T.A. (Baddest Of Them All) - Edit,B.O.T.A. (Baddest Of Them All) / Move To The,Eliza Rose,2022-06-15,QZAKB2166405,"1,389",39.7,325902688,119047,39606593,70.0
Chatak Matak,Chatak Matak,Renuka Panwar,2020-12-19,INT502012314,"1,391",39.7,24806000,1588,347235,54.0
FINA,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,2023-10-13,QMFME2364183,"1,398",39.6,226576178,32219,19829075,78.0
3:15 (Breathe),3:15 (Breathe),Russ,2021-05-21,TCAFO2147109,"1,406",39.5,303510160,72865,7583638,72.0
Down Under (feat. Colin Hay),Down Under,Luude,2021-11-19,AUDCB1701966,"1,403",39.5,315606874,125064,22299331,60.0
Control,Control,Zoe Wees,2020-03-13,GB2DY2000093,"1,407",39.5,457848626,81641,24075887,66.0
Push Up - Original Mix,Push Up - Single,Creeds,2022-12-21,NLCK42223782,"1,409",39.4,83801298,78156,5245976,58.0
Novo Balanï¿½,Dos Prï¿½ï¿½dios De,Veigh,2023-05-19,QZMWW2396002,"1,408",39.4,258439807,33493,8747668,69.0
Goosebumps - Remix,Goosebumps (Remix),Travis Scott,2021-01-15,USSM12100202,"1,410",39.4,767502068,142094,65054729,70.0
We Are Young (feat. Janelle Monï¿½ï¿½e) - feat. Janelle M,We Are Young (feat. Janelle Monï¿½ï,fun.,2011-09-20,USAT21101399,"1,414",39.3,1143172586,216588,73069486,72.0
My Head & My Heart,Heaven & Hell,Ava Max,2020-09-18,USAT22007121,"1,413",39.3,518293446,72376,41025788,69.0
Accendio,IVE SWITCH,IVE,2024-04-29,QM4TX2478221,"1,418",39.2,12367963,1027,749609,72.0
Deep End,Deep End,Fousheï¿,2020-07-31,USRC12002568,"1,417",39.2,277505000,76388,9447547,56.0
Turbo S,PISTOLER POESI OCH SEX,Yasin,2023-02-28,SE5752322602,"1,416",39.2,2109876,1764,32374,33.0
Mi Bello Angel,Nata Montana,Natanael Cano,2023-06-30,USWL12301027,"1,421",39.1,349522530,23359,14819855,76.0
Si Veo a Tu Mamï¿,YHLQMDLG,Bad Bunny,2020-02-29,QM4TX2030842,"1,423",39.1,817199682,92013,18868123,70.0
1-800-273-8255,1-800-273-8255,Logic,2017-04-28,USUM71702778,"1,427",39.0,1332154389,155866,27988875,67.0
After Hours,After Hours,The Weeknd,2020-02-19,USUG12000586,"1,424",39.0,942637026,146801,30163694,75.0
The Middle,The Middle,Zedd,2018-01-23,USUM71800463,"1,432",38.9,1503269550,135666,65498300,72.0
Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,2020-10-16,USUM72019170,"1,431",38.9,820172575,119464,35423440,66.0
THANK GOD,UTOPIA,Travis Scott,2023-07-28,USSM12305005,"1,440",38.8,159483318,53828,5159560,68.0
Home,Home,Edith Whiskers,2020-10-16,GBVHN2000009,"1,441",38.8,382143321,98433,18158287,65.0
The London (feat. J. Cole & Travis Scott),The London (feat. J. Cole & Travis Scott),Young Thug,2019-05-23,USAT21903320,"1,438",38.8,729825680,155380,26351002,62.0
Si Te Pudiera Mentir,Simplemente Gracias,Calibre 50,2019-08-16,QM2EJ1500417,"1,444",38.7,497062969,39746,21866121,69.0
Tell Em,Tell Em,Cochise,2021-05-28,USSM12103018,"1,442",38.7,499262863,156928,20525072,70.0
Please Me,Please Me,Cardi B,2019-02-15,USAT21811659,"1,449",38.6,551035247,58065,19199798,70.0
El Hijo Mayor,El Hijo Mayor - Single,Junior H,2022-05-20,USWL12200441,"1,450",38.6,357445095,30881,19190261,71.0
TIL FURTHER NOTICE,UTOPIA,Travis Scott,2023-07-28,USSM12305020,"1,451",38.5,133152051,55843,7668430,71.0
"Poblado (feat. Crissin, Totoy El Frio & Natan & Shander) [Remix]",Poblado (Remix),J Balvin,2021-06-18,QZ5BF1600040,"1,454",38.5,347951927,60696,17980948,61.0
LOKERA,LOKERA,Rauw Alejandro,2022-07-25,USSD12200700,"1,452",38.5,656416971,74344,55382119,75.0
cardigan,folklore,Taylor Swift,2020-07-24,USUG12002836,"1,458",38.4,1307283069,94169,67796903,80.0
See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",2017-07-21,USQX91701275,"1,456",38.4,1610423351,283537,75314202,84.0
Amanece,Amanece,Anuel AA,2018-12-14,USDXS1806044,"1,457",38.4,784096553,80071,22684253,77.0
Johnny Dang (with Paul Wall & DRODi),Johnny Dang (with Paul Wall & DRODi),That Mexican OT,2023-05-26,USUG12303409,"1,466",38.3,128049237,42334,16862073,68.0
GASLIGHT,GASLIGHT,INJI,2022-04-14,QZHN32201081,"1,463",38.3,17756452,8421,1500039,48.0
Die Young (feat. 347aidan),Die Young (feat. 347aidan),Sleepy Hallow,2022-05-25,USRC12201686,"1,464",38.3,245406516,75951,9524862,60.0
Vente Pa' Ca,Vente Pa' Ca,Ricky Martin,2016-09-22,USSD11600252,"1,467",38.2,613961293,57564,22110798,66.0
Can't Tame Her,Can't Tame Her,Zara Larsson,2023-01-26,USSM12210918,"1,473",38.2,159051363,31456,22058380,62.0
VIBEZ,KIRK,DaBaby,2019-09-27,USUM71919281,"1,470",38.2,432315500,95756,16692750,59.0
I Don't Fuck With You,I Don't Fuck With You,Big Sean,2014-09-19,USUM71414033,"1,475",38.2,781790448,135134,33420257,67.0
HYAENA,UTOPIA,Travis Scott,2023-07-28,USSM12305004,"1,468",38.2,137071285,47247,5437356,68.0
M.A.I,111,Milo j,2023-11-30,UYB282384010,"1,471",38.2,163958167,12417,15958224,76.0
Just the Way You Are,Just The Way You Are,Bruno Mars,2010-07-20,USAT21001269,"1,477",38.1,2099862852,233719,148404419,79.0
Rasputin,Rasputin,Majestic,2021-02-26,DEE862100256,"1,481",38.1,613000788,152363,73448130,73.0
Say It Right (Dance),"This Is MELON, Vol. 1 (Dance)",MELON,2023-02-24,ZZOPM2342003,"1,479",38.1,3119521,560,10301672,30.0
If the World Was Ending - feat. Julia Michaels,If the World Was Ending (feat. Julia Michaels),JP Saxe,2019-10-17,USQX91902708,"1,483",38.1,1145402792,134427,81562006,69.0
"How Far I'll Go - From ""Moana""","How Far I'll Go (From ""Moana"")",Alessia Cara,2016-10-28,USWD11677601,"1,476",38.1,740261910,49852,13088456,58.0
ýýýýýýýýýýýý,Bibbidiba - Single,Hoshimachi Suisei,2024-03-23,JPV752408464,"1,482",38.1,21255074,1754,3985309,70.0
Heartless,Heartless,The Weeknd,2019-11-27,USUG11904007,"1,486",38.0,975754682,137196,28066964,73.0
Where Did You Go? (feat. MNEK),Where Did You Go?,Jax Jones,2022-01-26,GBUM72108841,"1,488",38.0,389547230,65208,36265310,70.0
Asiwaju,Asiwaju,Ruger,2022-11-14,GBARL2202349,"1,498",37.9,108133711,34390,4480387,18.0
Sticky,"Honestly, Nevermind",Drake,2022-06-17,USUG12204888,"1,492",37.9,253177498,83779,16621189,66.0
Mahiye Jinna Sohna Slowed + Reverb,Mahiye Jinna Sohna Lofi Remix,Darshan Raval,2023-07-27,INW262317919,"1,502",37.9,1843453,311,174474,35.0
Reggaetï¿½ï¿½n Lento (Baile,Primera Cita,CNCO,2016-08-26,USSD11600135,"1,497",37.9,738438810,65613,22623077,67.0
GMFU (w/ 6arelyhuman),GMFU (w/ 6arelyhuman),Odetari,2023-07-26,QZVFR2301503,"1,503",37.8,199444237,31285,5660364,72.0
SKITZO,UTOPIA,Travis Scott,2023-07-28,USSM12305016,"1,513",37.8,97901897,49313,5181004,66.0
Friendly Fire,Friendly Fire,Linkin Park,2024-02-23,USWB12400280,"1,505",37.8,27605207,4232,10396816,8.0
Niï¿½ï¿½a Bo,Niï¿½ï¿½a Bo,Feid,2023-04-21,USUM72305943,"1,508",37.8,237741410,39503,20043997,61.0
Lover,Lover,Taylor Swift,2019-08-16,USUG11901473,"1,507",37.8,1413268808,104435,94697921,81.0
Best Part (feat. H.E.R.),Freudian,Daniel Caesar,2017-08-25,CADDS1700022,"1,516",37.7,1362614026,183645,51977530,79.0
Melhor Vibe,Melhor Vibe,MC Ryan SP,2024-03-20,BRWMB2400319,"1,519",37.7,39157273,2886,19563551,73.0
Malvadï¿½ï¿,Malvadï¿½ï¿,Xamï¿,2021-11-30,QZNJZ2122225,"1,527",37.6,270364614,37002,6997751,56.0
2 Be Loved (Am I Ready),Special,Lizzo,2022-07-15,USAT22203706,"1,525",37.6,335194737,36991,30514705,62.0
Shut Up and Dance,Full Circle: The Live Anthology,WALK THE MOON,2011-11-20,USRC11401949,"1,530",37.6,1690450389,225204,121786733,81.0
SugarCrash!,SugarCrash!,ElyOtto,2020-08-25,TCAFB2092742,"1,529",37.6,364210672,81556,11888277,63.0
Dial Drunk (with Post Malone),Dial Drunk (with Post Malone),Noah Kahan,2023-07-18,USUM72308676,"1,533",37.5,276026602,37445,15016410,79.0
wait in the truck (feat. Lainey Wilson),wait in the truck - Single,HARDY,2022-08-26,QZ22S2200068,"1,537",37.5,127223430,24922,3869411,63.0
Funny Song,"Vintage Oddities, Vol. 4",Cavendish Music,2018-08-15,GBBGY1743613,"1,539",37.4,5866282,3514,462009,39.0
FALTA DE QUï¿½,FALTA DE QUï¿½,Luan Pereira,2024-05-16,BRRGE2400266,"1,541",37.4,27120441,1557,41022920,77.0
Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),Charlie Puth,2022-06-24,USAT22205563,"1,542",37.4,947763871,59942,47877896,72.0
The Door,I've Tried Everything But Therapy (Part 1),Teddy Swims,2023-09-15,USWB12302870,"1,548",37.3,111155129,8444,40989352,80.0
Gato de Noche,Gato de Noche,ýýengo Flow,2022-12-22,QMFMF2216359,"1,547",37.3,427842597,59365,26456238,66.0
Hey Driver (feat. The War and Treaty),Hey Driver (feat. The War and Treaty),Zach Bryan,2023-08-24,USWB12304897,"1,552",37.2,221575551,30798,7204607,78.0
REAL GANGSTA LOVE,EL ï¿½ï¿½LTIMO B,Trueno,2024-05-23,US66W2401066,"1,554",37.2,31366703,1732,118815213,78.0
Free Mind,For Broken Ears,Tems,2020-09-25,QMBZ92014864,"1,559",37.1,155772691,49453,8122764,67.0
favorite crime,SOUR,Olivia Rodrigo,2021-05-21,USUG12101249,"1,564",37.1,1058390692,110900,40458627,79.0
When You're Gone,When You're Gone,Shawn Mendes,2022-03-31,USUM72204098,"1,562",37.1,323292046,40626,21320097,71.0
You Should Probably Leave,Starting Over,Chris Stapleton,2020-11-13,USUM72013814,"1,566",37.0,427605317,56215,12087656,77.0
Die For You,Starboy,The Weeknd,2016-11-25,USUG11601011,"1,565",37.0,2265551950,185803,50288436,74.0
Need It (feat. YoungBoy Never Broke Again),Need It,Migos,2020-05-22,USUG12000098,"1,569",37.0,328017675,115095,17047436,67.0
Un Besito Mï¿½,Un Besito Mï¿½,Salastkbron,2024-03-14,AR5UH2302301,"1,581",36.9,39026522,4463,10235789,72.0
Ya No Somos Ni Seremos,Ya No Somos Ni Seremos,Christian Nodal,2022-02-18,MXF012200055,"1,580",36.9,469278591,30545,19963782,76.0
Sharks,Sharks,Imagine Dragons,2022-06-24,USUM72205464,"1,579",36.9,283572432,48772,11144471,65.0
Igualito a Mi Apï¿,Pa Que Hablen,Fuerza Regida,2022-12-30,QZ9QQ2200167,"1,585",36.8,316447060,27766,12168890,72.0
Thousand Miles,Thousand Miles,The Kid LAROI,2022-04-22,USSM12203367,"1,583",36.8,299159279,65016,30594262,65.0
Walk Em Down (feat. Roddy Ricch),Walk Em Down (feat. Roddy Ricch),NLE Choppa,2020-03-19,USWB12000247,"1,584",36.8,565296902,139124,21558993,68.0
Khairiyat,Chhichhore,Arijit Singh,2019-08-31,INS181904666,"1,587",36.8,240571166,23561,8550167,65.0
Private Landing (feat. Justin Bieber & Future),Private Landing (feat. Justin Bieber & Future),Don Toliver,2023-02-23,USAT22301679,"1,599",36.7,242528711,57228,39892662,72.0
Turn Yo Clic Up (feat. Future),Turn Yo Clic Up (feat. Future),Quavo,2023-07-14,USUG12300051,"1,593",36.7,70868414,32989,17684550,57.0
Hotline Bling,Hotline Bling,Drake,2015-07-31,USCM51500238,"1,588",36.7,1335494972,205003,49738762,72.0
Chupï¿½,Chupï¿½,El Gudi,2023-08-25,PYC842302802,"1,597",36.7,126216271,8260,5602330,61.0
Sonrï¿½ï¿½ele a la ,Sonrï¿½ï¿½ele a la ,DnK,2021-06-25,QZHZ62124573,"1,590",36.7,3052742,31,1828,10.0
Life Goes On,BE,BTS,2020-11-20,QMBZ92051791,"1,594",36.7,717715448,43805,25129169,70.0
11:00 PM,11:11,Maluma,2019-05-17,USSD11900166,"1,596",36.7,719602988,64741,26033088,67.0
One Call Away,One Call Away,Charlie Puth,2015-08-21,USAT21502703,"1,604",36.6,833094374,74711,20494033,69.0
Move Your Body,Move Your Body - Single,ýýwnboss,2021-10-29,NLZ542101576,"1,606",36.6,366000029,116490,66103377,71.0
Faucet Failure,STOKELEY,Ski Mask The Slump God,2018-11-30,USUM71820924,"1,601",36.6,571258899,121284,14959393,66.0
Suavemente,Suavemente,Soolking,2022-02-22,FR9KQ2200190,"1,608",36.6,159676691,53444,4694099,59.0
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Now That's What I Call Music! 91,Ellie Goulding,2015-07-24,GBUM71406894,"1,617",36.5,1532640437,238,104606,6.0
Love Nwantiti - Remix,Love Nwantiti (Remix),Dj Yo!,2019-08-30,QZHN32199953,"1,613",36.5,596326288,132469,16068014,66.0
Victoriaï¿½ï¿½ï¿½s ,Victoriaï¿½ï¿½ï¿½s ,Jax,2022-06-30,USAT22208037,"1,616",36.5,161267092,28607,7345512,62.0
THE SCOTTS,THE SCOTTS,THE SCOTTS,2020-04-24,USSM12002217,"1,614",36.5,789962731,176635,30767602,68.0
LUNA,LUNA,Peso Pluma,2023-06-22,QM7282306223,"1,620",36.4,266623831,21962,6881691,73.0
Just Give Me a Reason,The Truth About Love,P!nk,2012-09-14,USRC11200786,"1,627",36.3,1301573727,145608,86545078,78.0
UN DIA (ONE DAY) (Feat. Tainy),UN DIA (ONE DAY) (Feat. Tainy),J Balvin,2020-07-24,QZM5U2000001,"1,629",36.3,828608384,93376,34702149,64.0
Apocalypse,Apocalypse,Cigarettes After Sex,2017-03-21,USBQU1700034,"1,628",36.3,1305189811,259761,79958707,82.0
GENTO,Gento,SB19,2023-05-19,PHS112300198,"1,631",36.2,44345269,4379,1586804,58.0
ýýýýýý,ýýýýýý,YOASOBI,2023-09-29,JPP302300523,"1,643",36.1,84848838,10799,2566936,71.0
ýýndigo,ýýndigo - Single,Camilo,2021-10-13,USSD12100733,"1,637",36.1,270580897,31024,10428322,60.0
BABY OTAKU,BABY OTAKU,Pablito Pesadilla,2022-08-18,QM6P42224728,"1,640",36.1,187646063,31155,5507531,58.0
The Less I Know The Better,Currents,Tame Impala,2015-07-17,AUUM71500303,"1,644",36.1,1644031037,368350,80916788,79.0
ULTRA SOLO REMIX,ULTRA SOLO Remix,Polimï¿½ï¿½ Westc,2022-06-16,CLPP22200027,"1,641",36.1,340527913,50714,21161966,67.0
Faster n Harder,Faster n Harder,6arelyhuman,2024-02-28,QZZ4J2400085,"1,639",36.1,45351290,6008,7286918,68.0
Better Days (NEIKED x Mae Muller x Polo G),Better Days (NEIKED x Mae Muller x Polo G),NEIKED,2021-09-24,GBUM72106057,"1,650",36.0,487150595,92690,46125153,67.0
Cabaï¿½,Cabaï¿½,El Jordan 23,2023-06-24,QM7282354441,"1,646",36.0,179452105,24120,19728658,72.0
Golden,Fine Line,Harry Styles,2019-12-13,USSM11912586,"1,645",36.0,912294568,117541,36158508,70.0
Music For a Sushi Restaurant,Harry's House,Harry Styles,2022-05-20,USSM12200609,"1,649",36.0,408265830,54371,24669724,67.0
Dance The Night,Barbie The Album,Dua Lipa,2023-07-21,USAT22305730,"1,652",36.0,860026452,19743,10536844,67.0
RAM TCHUM,RAM TCHUM,DENNIS,2024-02-29,BRSME2400249,"1,648",36.0,62158125,3309,21702281,74.0
Coal,Coal,Dylan Gossett,2023-07-27,QZNWU2332981,"1,661",35.9,170200281,40016,15156630,2.0
RUNAWAY,RUNAWAY,KAYDEN,2022-03-14,QZDA42277779,"1,656",35.9,3508819,1705,104043,32.0
Habits (Stay High),Habits,Tove Lo,2013-03-15,SE3NM1300101,"1,658",35.9,919756735,144657,32634535,69.0
Moonwalking in Calabasas (feat. Blueface) - Remix,Moonwalking in Calabasas Remix,DDG,2020-08-20,CA5KR2079526,"1,657",35.9,337709342,124013,14195159,61.0
Deli,Like..? Deluxe (Apple Music Edition),Ice Spice,2023-01-20,USUG12306323,"1,659",35.9,190497384,30799,19538464,70.0
Too Little Light,Some of Your Pain,koko die,2023-03-17,PLB172300028,"1,660",35.9,24935,6,594,1.0
God's Country,God's Country,Blake Shelton,2019-03-29,USWB11900819,"1,665",35.8,367775924,62389,11424665,62.0
Desejo Imortal (It Must Have Been Love),Desejo Imortal (It Must Have Been Love),Gusttavo Lima,2023-04-13,BXBAL2300029,"1,666",35.8,96328058,7107,12749577,63.0
30 GRADOS,30 Grados,El Turko,2024-01-26,QM4TW2445323,"1,662",35.8,50652672,5098,8000291,72.0
IDOL,Love Yourself ï¿½ï¿½ï¿½ 'A,BTS,2018-08-24,QM6MZ1886144,"1,670",35.7,458842811,26775,16830592,65.0
Never Stop,Valedictorian,ian,2024-05-17,USQX92402275,"1,674",35.7,8857839,2138,9237218,68.0
Earth Song,Earth Song - Single,Wizard Chan,2022-12-24,QZW9N2244606,"1,675",35.7,5408464,2127,61056,39.0
GREECE (feat. Drake),GREECE (feat. Drake),DJ Khaled,2020-07-16,USSM12004502,"1,676",35.7,544564903,155782,23951058,63.0
Jericho,Jericho - Single,Iniko,2023-04-15,USQX92302565,"1,673",35.7,138403252,46111,11577648,65.0
Paradise (feat. Dermot Kennedy),Paradise,MEDUZA,2020-10-30,GBUM72005075,"1,679",35.6,726266033,118990,41567899,64.0
The Nights,Full Circle: The Live Anthology,Avicii,2011-11-20,CH3131340464,"1,680",35.6,1780761618,306987,80839124,79.0
